rebal_date,eval_year,eval_month,eval_period,n_countries,bm_return,top1_return,top1_country,top1_prob,bot1_return,bot1_country,bot1_prob,top3_return,top3_countries,bot3_return,bot3_countries,top5_return,top5_countries,bot5_return,bot5_countries,top8_return,top8_countries,bot8_return,bot8_countries,top10_return,top10_countries,bot10_return,bot10_countries
2023-10-31,2023,11,2023-11,23,5.176854034751115,4.015813076693142,Azerbaijan,0.98615962266922,3.2826939030429436,India,0.005104463081806898,5.687848390733552,"Azerbaijan, Philippines, Indonesia",3.559910088181336,"Oman, Kazakhstan, India",5.538165120902221,"Azerbaijan, Philippines, Indonesia, Panama, Chile",3.7644832587029597,"Turkey, Poland, Oman, Kazakhstan, India",5.655069587223238,"Azerbaijan, Philippines, Indonesia, Panama, Chile, Romania, Hungary, Paraguay",3.7674683822308705,"Serbia, Peru, China, Turkey, Poland, Oman, Kazakhstan, India",5.922344659735674,"Azerbaijan, Philippines, Indonesia, Panama, Chile, Romania, Hungary, Paraguay, Colombia, Uruguay",3.9418943016822965,"Brazil, Malaysia, Serbia, Peru, China, Turkey, Poland, Oman, Kazakhstan, India"
2023-11-30,2023,12,2023-12,23,3.412867060300527,2.7702725501306036,Oman,0.9889621138572693,2.7828613029565297,Poland,0.013382431119680405,2.945420528792038,"Oman, Azerbaijan, Chile",3.5361128142143756,"Hungary, Romania, Poland",2.5826877069354426,"Oman, Azerbaijan, Chile, Serbia, Turkey",3.2716464965635517,"Mexico, Peru, Hungary, Romania, Poland",2.734517027440267,"Oman, Azerbaijan, Chile, Serbia, Turkey, India, Georgia, Panama",3.25912897416786,"Philippines, China, Malaysia, Mexico, Peru, Hungary, Romania, Poland",3.153926476687874,"Oman, Azerbaijan, Chile, Serbia, Turkey, India, Georgia, Panama, SouthAfrica, Colombia",3.2973401706220207,"Indonesia, Brazil, Philippines, China, Malaysia, Mexico, Peru, Hungary, Romania, Poland"
2023-12-29,2024,1,2024-01,23,-0.30864616912532367,0.0,Serbia,0.9935224652290344,-0.15576190383890243,Paraguay,0.00817334745079279,0.10406050949027801,"Serbia, Azerbaijan, India",-0.8526932847545762,"Oman, SouthAfrica, Paraguay",0.48109142564654706,"Serbia, Azerbaijan, India, Romania, Georgia",-0.8471281443456725,"Turkey, Hungary, Oman, SouthAfrica, Paraguay",0.4315362781347157,"Serbia, Azerbaijan, India, Romania, Georgia, Mexico, Kazakhstan, Poland",-0.6489768903510634,"Malaysia, Philippines, Uruguay, Turkey, Hungary, Oman, SouthAfrica, Paraguay",0.41800435731399793,"Serbia, Azerbaijan, India, Romania, Georgia, Mexico, Kazakhstan, Poland, Chile, Peru",-0.8291267154948013,"Colombia, Panama, Malaysia, Philippines, Uruguay, Turkey, Hungary, Oman, SouthAfrica, Paraguay"
2024-01-31,2024,2,2024-02,23,-0.8129878145026261,-1.1380654867643503,Philippines,0.993821382522583,-1.038879824376393,Panama,0.04049425572156906,-0.7522707906326587,"Philippines, Serbia, Hungary",-0.628353566370791,"India, Georgia, Panama",-0.4357595128055358,"Philippines, Serbia, Hungary, Indonesia, Turkey",-0.7370744674968166,"Mexico, China, India, Georgia, Panama",-0.5835645045616191,"Philippines, Serbia, Hungary, Indonesia, Turkey, SouthAfrica, Poland, Colombia",-0.9562412064867645,"Uruguay, Romania, Kazakhstan, Mexico, China, India, Georgia, Panama",-0.6278758337814171,"Philippines, Serbia, Hungary, Indonesia, Turkey, SouthAfrica, Poland, Colombia, Azerbaijan, Chile",-0.9900143757162605,"Peru, Oman, Uruguay, Romania, Kazakhstan, Mexico, China, India, Georgia, Panama"
2024-02-29,2024,3,2024-03,23,0.5408837613620039,1.4629076980417821,Turkey,0.9922168254852295,0.8186793093355016,Kazakhstan,0.007837831974029541,0.7111332877868323,"Turkey, Serbia, Hungary",0.7975342773010596,"China, Panama, Kazakhstan",0.5165467294385095,"Turkey, Serbia, Hungary, Philippines, Peru",0.39716807564278866,"Malaysia, Georgia, China, Panama, Kazakhstan",0.5033625240844636,"Turkey, Serbia, Hungary, Philippines, Peru, Paraguay, SouthAfrica, Mexico",0.441025614314311,"Azerbaijan, Oman, India, Malaysia, Georgia, China, Panama, Kazakhstan",0.5599999137736744,"Turkey, Serbia, Hungary, Philippines, Peru, Paraguay, SouthAfrica, Mexico, Indonesia, Colombia",0.388652872862727,"Chile, Brazil, Azerbaijan, Oman, India, Malaysia, Georgia, China, Panama, Kazakhstan"
2024-03-28,2024,4,2024-04,23,-1.8717256752161102,-2.8053275096239783,Peru,0.9913614392280579,-0.6444856405576682,Georgia,0.009140887297689915,-1.9636841959017304,"Peru, Chile, SouthAfrica",-1.3222131888689665,"Kazakhstan, Poland, Georgia",-1.7327231641123018,"Peru, Chile, SouthAfrica, Serbia, Colombia",-1.4471637341046883,"Malaysia, Azerbaijan, Kazakhstan, Poland, Georgia",-1.738682909348202,"Peru, Chile, SouthAfrica, Serbia, Colombia, Turkey, Paraguay, Hungary",-1.4939326237541573,"Panama, China, Philippines, Malaysia, Azerbaijan, Kazakhstan, Poland, Georgia",-1.8918927400092564,"Peru, Chile, SouthAfrica, Serbia, Colombia, Turkey, Paraguay, Hungary, Romania, Mexico",-1.585194813914288,"Brazil, Uruguay, Panama, China, Philippines, Malaysia, Azerbaijan, Kazakhstan, Poland, Georgia"
2024-04-30,2024,5,2024-05,23,2.3189729907434495,3.1612041124423174,Chile,0.9976775050163269,1.782761749560402,Oman,0.0012951078824698925,2.573011913054324,"Chile, Philippines, Uruguay",1.550131418450203,"China, Azerbaijan, Oman",2.5379436586083104,"Chile, Philippines, Uruguay, Peru, Mexico",1.109437936511426,"Georgia, Kazakhstan, China, Azerbaijan, Oman",2.534591748980522,"Chile, Philippines, Uruguay, Peru, Mexico, SouthAfrica, Hungary, Colombia",1.4829802888845098,"Indonesia, Brazil, India, Georgia, Kazakhstan, China, Azerbaijan, Oman",2.577959497021451,"Chile, Philippines, Uruguay, Peru, Mexico, SouthAfrica, Hungary, Colombia, Poland, Paraguay",1.734612540014132,"Turkey, Panama, Indonesia, Brazil, India, Georgia, Kazakhstan, China, Azerbaijan, Oman"
2024-05-31,2024,6,2024-06,23,-0.192987358679921,0.0,Serbia,0.9712727665901184,-0.2666246283578255,Panama,0.07126343995332718,-0.26195551525277266,"Serbia, Paraguay, Turkey",0.06714040208907572,"Philippines, Georgia, Panama",-0.177046697327512,"Serbia, Paraguay, Turkey, Chile, Oman",-0.24150017227606568,"Mexico, India, Philippines, Georgia, Panama",-0.15749018456445857,"Serbia, Paraguay, Turkey, Chile, Oman, Romania, Indonesia, Hungary",-0.395749705915098,"Colombia, Poland, Malaysia, Mexico, India, Philippines, Georgia, Panama",-0.28679972459632386,"Serbia, Paraguay, Turkey, Chile, Oman, Romania, Indonesia, Hungary, Uruguay, Brazil",-0.09849393367012182,"Kazakhstan, SouthAfrica, Colombia, Poland, Malaysia, Mexico, India, Philippines, Georgia, Panama"
2024-06-28,2024,7,2024-07,23,2.981457150399353,3.202377348266916,SouthAfrica,0.6095446348190308,0.9855648234566194,Kazakhstan,0.12326590716838837,2.5088605312022207,"SouthAfrica, Hungary, Georgia",2.701118897365699,"Mexico, Peru, Kazakhstan",2.6648016127714547,"SouthAfrica, Hungary, Georgia, Paraguay, Azerbaijan",2.583771018210661,"Philippines, Turkey, Mexico, Peru, Kazakhstan",2.8079538575238066,"SouthAfrica, Hungary, Georgia, Paraguay, Azerbaijan, Brazil, Chile, China",2.6608894874452034,"Uruguay, Indonesia, Oman, Philippines, Turkey, Mexico, Peru, Kazakhstan",2.8812407079374003,"SouthAfrica, Hungary, Georgia, Paraguay, Azerbaijan, Brazil, Chile, China, India, Malaysia",2.8947942083240075,"Poland, Panama, Uruguay, Indonesia, Oman, Philippines, Turkey, Mexico, Peru, Kazakhstan"
2024-07-31,2024,8,2024-08,23,1.931671606273116,0.0,Serbia,0.9943848848342896,2.2224857593089897,Panama,0.020522285252809525,1.0351269570066712,"Serbia, Hungary, Romania",2.3186530931433267,"Oman, SouthAfrica, Panama",1.371365009716179,"Serbia, Hungary, Romania, Paraguay, Georgia",2.1674268491275006,"Uruguay, Mexico, Oman, SouthAfrica, Panama",1.6938038145503458,"Serbia, Hungary, Romania, Paraguay, Georgia, Chile, Indonesia, Philippines",1.9610028673404583,"Brazil, Azerbaijan, India, Uruguay, Mexico, Oman, SouthAfrica, Panama",1.7647595174641917,"Serbia, Hungary, Romania, Paraguay, Georgia, Chile, Indonesia, Philippines, Turkey, Peru",1.9391964434889886,"Kazakhstan, Colombia, Brazil, Azerbaijan, India, Uruguay, Mexico, Oman, SouthAfrica, Panama"
